file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_PC0112_0073_673659_to_676955,མང་ཆེ་ཡིན་ན། ད་ཨ་མེ་རི་ཀ་དང་ཉི་ཧོང་གི་ཨེ་ནས་མཐུན་གྲོགས་རྒྱལ་ཁབ་རེད།  ,mang che yin na/_da a me ri ka dang nyi hong gi e nas mthun grogs rgyal khab red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0112_0073_673659_to_676955.wav,STT_PC,3,69,3.296,wav16k/STT_PC0112_0073_673659_to_676955.wav,མང་ཆེ་ཡིན་ན་ད་ཨ་མི་རི་ཀ་དང་། ཉི་ཧོང་གི་ཨེ་ནས་མཐུན་གྲོགས་རྒྱལ་ཁབ་རེད།
STT_PC0112_0074_679131_to_683131,རྒྱ་ནག་ངོས་ནས་ཞེ་དྲག་སྐོར་ར་བརྒྱབ་བྱས་འགྲོ་དུས། ད་གང་ལྟར་མ་ཚང་རྒྱ་ནག་སྟོབས་ཆེན་པོ་ཞེ་བོ་ཅིག་ཡོད་པ་ཡིན་ནས་ལས་ ,rgya nag ngos nas zhe drag skor ra brgyab byas 'gro dus/_da gang ltar ma tshang rgya nag stobs chen po zhe bo cig yod pa yin nas las _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0112_0074_679131_to_683131.wav,STT_PC,3,109,4.0,wav16k/STT_PC0112_0074_679131_to_683131.wav,རྒྱ་ནག་ངོས་ནས་ཞེ་དྲག་སྐོར་ར་བརྒྱབ་བྱས་འགྲོ་དུས། ད་གང་ལྟར་ མ་སང་རྒྱ་ནག་སྟོབས་ཆེན་པོ་ཞེ་བོ་ཅིག་ཡོད་པ་ཡིན་ན་ལས།
STT_PC0112_0080_740649_to_742889,ཨེ་ནས་དུས་ཚོད་དེ་འདྲ་གཅིག་གལ་ཆེན་པོ་ཅིག་ཆགས་མདོག་ཁ་པོ་རེད་ཟེ།  ,e nas dus tshod de 'dra gcig gal chen po cig chags mdog kha po red ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0112_0080_740649_to_742889.wav,STT_PC,3,63,2.24,wav16k/STT_PC0112_0080_740649_to_742889.wav,ཨེ་ནས་དུས་ཚོད་འདེ་འདྲས་ཅིག་གལ་ཆེན་པོ་ཅིག་ཆགས་མདོག་ཁ་པོ་རེད་ཟེ།
STT_PC0112_0084_775785_to_777865,ཁོ་གཉིས་གཉིས་གྲོས་བསྡུར་གནང་པའི་རྗེས་ཡིན་ན། ཨ་མེ་རི་ཀའི་ ,kho gnyis gnyis gros bsdur gnang pa'i rjes yin na/_a me ri ka'i _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0112_0084_775785_to_777865.wav,STT_PC,3,57,2.08,wav16k/STT_PC0112_0084_775785_to_777865.wav,ཁོ་གཉིས་གཉིས་གྲོས་བསྡུར་གནང་པའི་རྗེས་ལ་ཡིན་ན། ཨ་མི་རི་ཀས་
STT_PC0112_0079_714345_to_716457,ཞི་ཅིན་ཕིང་གིས་ཡིན་ན་ཐེ་ཝན་ལ་ཡ་དམག་འཁྲུག་བརྒྱབ་མི་ཡོང་ངས་ཟེ་ ,zhi cin phing gis yin na the wan la ya dmag 'khrug brgyab mi yong ngas ze _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0112_0079_714345_to_716457.wav,STT_PC,3,61,2.112,wav16k/STT_PC0112_0079_714345_to_716457.wav,ཞི་ཅིན་ཕིང་གིས་ཡིན་ན། ཐེ་ཝན་ལ་ཡ་དམག་འཁྲུག་བརྒྱབ་མི་ཡོང་ངེ་ཟེ།
STT_MV0838_0080_544754_to_553002,ཐད་ཀར་རང་དང་སྐད་ཆ་འདྲི་དགོས་བསམ་བྱུང་། རང་གི་བློ་ལ་བབ་སོང་ངེ་། ད་དུང་དགོས་ཡ་ག་རེ་འདུག ཧ་ཨ།  ,thad kar rang dang skad cha 'dri dgos bsam byung /_rang gi blo la bab song nge /_da dung dgos ya ga re 'dug_ha a/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0838_0080_544754_to_553002.wav,STT_MV,3,92,8.248,wav16k/STT_MV0838_0080_544754_to_553002.wav,ཐད་ཀར་རང་དང་སྐད་ཆ་དྲི་དགོས་བསམ་བྱུང་། རང་གི་བློ་ལ་བབས་སོང་ངེ། ད་དུང་དགོས་ཡ་ག་རེ་འདུག
STT_MV0838_0082_560992_to_568124,ཞུ་རྟེན་གནང་ནས་ང་དང་གྲོས་བསྡུར་གནང་དགོས་མ་རེད། བུ་གུའི་གཉེན་སྒྲིག་དུས་ཆེན་ཕ་མས་ཐག་གཅད་གནང་རྒྱུ་རེད། དེ་ལས་ ,zhu rten gnang nas nga dang gros bsdur gnang dgos ma red/_bu gu'i gnyen sgrig dus chen pha mas thag gcad gnang rgyu red/_de las _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0838_0082_560992_to_568124.wav,STT_MV,3,107,7.132,wav16k/STT_MV0838_0082_560992_to_568124.wav,བཞུགས་འྟེན་གནང་ནས་ང་དང་གྲོས་བསྡུར་གནང་དགོས་མ་རེད། པུ་གུའི་གཉེན་སྒྲིག་དོས་ཆེན་ཕ་མས་ཐག་བཅད་གནང་རྒྱུ་རེད། དེ་ལས་
STT_PC0126_0087_826434_to_829794,རྒྱ་ནག་མི་མང་མང་ཆེ་བ་ཅིག་གིས་མ་དངུལ་རྐང་གྲངས་ཟེར་ཡ་དེའི་སྒང་འགྲོ་རྒྱུ་མི་འདུག་བསམ་བྱས།  ,rgya nag mi mang mang che ba cig gis ma dngul rkang grangs zer ya de'i sgang 'gro rgyu mi 'dug bsam byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0126_0087_826434_to_829794.wav,STT_PC,3,88,3.36,wav16k/STT_PC0126_0087_826434_to_829794.wav,རྒྱ་ནག་མི་མང་མང་ཆེ་ཅིག་གིས་མ་དངུལ་རྐང་གྲངས་ཟེར་ཡ་དེའི་སྒང་ལ་འགྲོ་རྒྱུ་མི་འདུག་བསམ་བྱས།
STT_PC0126_0103_1019598_to_1022670,ཁོ་རང་ཚོའི་ཡོང་འབབ་ཆེ་རུ་འགྲོ་ཡ་དང་། ཡོང་འབབ་མུ་མཐུད་ཡོང་ཡ་ཆེད་དུ་ཡིན་ན།  ,kho rang tsho'i yong 'bab che ru 'gro ya dang /_yong 'bab mu mthud yong ya ched du yin na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0126_0103_1019598_to_1022670.wav,STT_PC,3,74,3.072,wav16k/STT_PC0126_0103_1019598_to_1022670.wav,ཁོ་རང་ཚོའི་ཡོང་འབབ་ཆེ་རུ་འགྲོ་ཡ་དང་། ཡོང་འབབ་མུ་མཐུད་ཡོང་ཡ་ཆེད་དུ།
STT_PC0112_0082_751881_to_754153,ད་ཞི་ཅིན་ཕིང་གིས་ལས་དུས་ཞེ་བ་ཅིག་བྱེད་དགོས་ཀི་ཡོད་རེད་ ,da zhi cin phing gis las dus zhe ba cig byed dgos ki yod red _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0112_0082_751881_to_754153.wav,STT_PC,3,55,2.272,wav16k/STT_PC0112_0082_751881_to_754153.wav,ད་ཞི་ཅིན་ཕིང་གིས་ལས་དུས་བཞི་པ་ཅིག་བྱེད་དགོས་ཀི་ཡོ་རེད།
